,Date,I_ext,a,b,Tl_a,SSPC_MBD,SSPC_MAPD,SSPC_RMSD,SSPC_MAD,SSPC_SD,SSPC_NSE_o_R2,SSPC_SBF,SSPC_U95,SSPC_TS,SSPC_WIA,SSPC_LCE,SSPC_KSI,SSPC_OVER,SSPC_CPI,ESRA_RMSD,ESRA_KSI,ESRA_OVER,ESRA_CPI,I&P_RMSD,HLJ_RMSD,Mghouchi_RMSD,Biga_RMSD,FR1999_RMSD,S1994_RMSD,DPP_RMSD,M1976_RMSD,L1970_RMSD,Kasten_RMSD,SP1965_RMSD,Hourwitz_RMSD
35,2010-05-14,1331.7577,0.2858,-6.3451,3.253,11.0361,11.9738,12.7194,3630.9103,90.1157,0.1009,0.5307,178.3775,31.6077,0.7647,0.0465,85263.0999,85156.2157,42611.1886,139.5067,151670.5913,151570.5913,75816.6553,8.2957,572.3465,537.4756,86.1461,599.912,167.2987,523.0869,166.196,152.0569,173.7302,154.1799,169.3056
36,2010-05-15,1331.1718,0.4416,-9.3327,5.6319,8.6906,9.3222,10.5622,4293.1604,79.0152,-0.2718,0.372,156.2473,32.1452,0.6475,-0.0308,87334.289,87232.1145,43646.882,117.0115,153986.9784,153886.9784,76973.7703,8.4608,570.6421,527.2764,84.8521,588.3172,139.1872,507.1319,138.3241,125.6069,138.2501,131.5822,169.3152
37,2010-05-16,1330.5951,0.2367,-2.4618,2.6107,2.9736,3.0919,3.666,300.337,22.7048,0.5107,0.5948,45.0777,13.8689,0.838,0.3951,10889.3926,10786.1309,5420.7139,72.0267,42760.7079,42660.7079,21357.187,7.9143,509.2636,477.3927,20.3987,544.0481,98.2467,467.9295,97.1417,82.8048,103.6044,86.0914,250.5733
38,2010-07-12,1316.0664,0.1966,-1.5577,2.1158,2.1922,2.2237,2.554,497.6494,19.638,0.868,0.9504,38.8147,25.1511,0.9668,0.6449,15282.0727,15174.4618,7615.4106,22.1784,16287.7396,16187.7396,8120.1468,8.4646,539.3132,489.7757,63.8259,544.3185,96.9735,454.7344,96.3279,85.0044,29.4353,93.9219,185.3492
39,2010-07-13,1316.1663,0.2535,-3.1005,2.8253,1.4387,1.5148,2.4209,145.3534,16.8848,0.5986,0.5412,33.4327,7.389,0.8437,0.4376,5669.2576,5556.7499,2807.7123,30.7721,17749.1054,17649.1054,8850.7631,8.2074,547.5482,509.99,45.8695,572.37,114.1805,490.9901,113.3113,100.2623,39.1002,107.3426,212.6093
40,2010-07-19,1317.0276,0.1987,-3.5937,2.1407,6.1936,6.3514,8.1497,2416.0647,66.9702,-2.093,0.2963,132.23,23.0623,0.5103,-0.595,59915.1747,59810.7087,29935.5457,72.5328,65667.8302,65567.8302,32812.99,8.6325,574.7957,522.4169,108.7413,575.678,140.2916,484.8317,139.6881,129.1378,78.1186,137.4146,141.5294
41,2010-07-20,1317.2146,0.2384,-4.3885,2.632,0.8302,0.8396,0.9222,318.7975,7.0212,0.9801,0.9851,13.8798,40.4737,0.995,0.839,7476.7583,7370.0903,3712.1732,110.2622,128185.8546,128085.8546,64068.3884,8.4522,615.9728,579.2875,117.273,641.3795,197.6266,560.5976,196.6534,183.218,125.0017,188.0652,132.936
42,2010-07-24,1318.0853,0.2009,-3.0069,2.1673,0.0532,0.0646,0.0788,0.6456,0.6614,0.7287,1.0135,1.3055,2.7463,0.9381,0.4841,90.4059,14.2433,26.2017,99.562,18315.8953,18215.8953,9132.987,8.4403,617.0478,580.1174,110.8932,644.2087,186.004,563.5888,185.089,171.7172,109.8129,178.3024,144.7092
43,2010-07-27,1318.8656,0.2557,-4.0303,2.8546,3.1769,3.2676,3.9452,1776.041,30.9017,0.3486,0.6703,61.0589,32.0817,0.8185,0.2354,34481.0288,34375.5275,17216.1117,35.465,46533.2579,46433.2579,23243.6015,8.5347,552.9754,502.6859,76.5201,557.5578,110.2489,469.1016,109.6012,98.2816,41.8482,107.1088,168.6355
44,2010-07-28,1319.1497,0.4397,-9.2846,5.5988,13.3659,14.8402,16.1989,7445.0615,113.5604,-0.4479,0.3213,224.8314,34.4368,0.6312,-0.1065,132434.1096,132329.8396,66199.0867,41.8367,57023.7763,56923.7763,28494.9876,8.2174,546.7091,508.4909,65.5209,568.7378,127.15,487.8626,126.2152,113.0421,55.4496,118.1772,200.0709
